R,G,B,H,L,S,Count_df1,Count_df2
3,35,64,209,13,91,11,12.0
5,46,107,216,22,91,2,4.0
6,101,81,167,21,89,7,12.0
6,102,117,188,24,90,11,12.0
6,107,120,187,25,90,13,16.0
6,109,120,186,25,90,10,12.0
7,23,52,219,12,76,6,12.0
7,103,132,194,27,90,7,9.0
8,126,158,193,33,90,10,12.0
8,140,146,183,30,90,8,9.0
9,120,150,193,31,89,10,12.0
10,139,177,194,37,89,11,12.0
10,142,182,194,38,90,5,9.0
11,151,205,197,42,90,9,12.0
11,177,205,189,42,90,15,16.0
11,191,181,177,40,89,14,16.0
11,192,169,172,40,89,7,9.0
13,54,115,216,25,80,3,4.0
24,116,177,204,39,76,4,9.0
24,132,187,200,41,77,8,12.0
24,151,205,198,45,79,9,12.0
36,19,15,11,10,41,9,12.0
38,147,179,194,43,65,8,9.0
40,172,130,161,42,62,9,12.0
41,66,92,211,26,38,7,8.0
41,73,92,202,26,38,6,8.0
41,122,122,180,32,50,11,12.0
41,136,175,197,42,62,11,12.0
43,70,70,180,22,24,8,9.0
43,82,139,216,36,53,2,4.0
43,90,97,188,27,39,8,9.0
45,84,144,216,37,52,3,4.0
46,82,135,216,35,49,2,4.0
51,93,157,216,41,51,1,4.0
51,116,160,204,41,52,3,4.0
51,162,120,157,42,52,15,16.0
52,52,50,60,20,2,8,9.0
52,101,101,180,30,32,8,9.0
55,83,93,196,29,26,13,16.0
56,82,98,203,30,27,8,9.0
59,148,195,201,50,54,7,9.0
59,179,160,170,47,50,12,16.0
59,181,225,196,56,73,7,8.0
60,70,156,234,42,44,19,24.0
60,183,184,180,48,51,8,9.0
61,72,126,230,37,35,6,9.0
61,90,84,168,30,19,11,12.0
61,123,193,212,50,52,3,4.0
62,165,142,167,45,45,15,16.0
63,181,211,192,54,63,2,3.0
64,172,141,163,46,46,7,12.0
65,81,101,213,33,22,11,12.0
65,86,113,214,35,27,7,9.0
65,109,175,216,47,46,1,4.0
67,71,94,231,32,17,7,9.0
68,78,103,223,34,20,11,12.0
68,81,132,228,39,32,13,16.0
68,84,103,213,34,20,13,16.0
68,87,115,216,36,26,1,2.0
68,97,125,209,38,30,10,12.0
69,76,105,228,34,21,9,16.0
69,194,199,182,53,54,3,4.0
70,80,120,228,37,26,6,12.0
70,85,114,220,36,24,13,15.0
70,177,228,199,58,75,3,4.0
71,94,120,212,37,26,6,9.0
71,146,87,133,43,35,10,12.0
71,191,199,184,53,53,3,4.0
72,113,173,216,48,41,3,4.0
73,115,118,184,37,24,7,9.0
75,107,107,180,36,18,7,9.0
75,185,207,190,55,58,2,3.0
77,76,149,241,44,32,7,9.0
77,193,231,195,60,76,3,4.0
78,93,117,217,38,20,9,12.0
78,103,94,158,35,14,11,12.0
80,97,121,215,39,20,1,2.0
81,153,89,127,46,31,5,9.0
82,84,81,100,32,2,14,16.0
82,109,149,216,45,29,2,3.0
82,112,152,214,46,30,7,11.0
83,100,123,214,40,19,1,2.0
85,121,123,183,41,18,11,12.0
85,174,228,203,61,73,10,12.0
86,78,130,249,41,25,11,12.0
86,82,79,26,32,4,19,21.0
86,195,234,196,63,78,8,9.0
87,77,142,249,43,30,13,16.0
87,92,96,207,36,5,15,16.0
87,108,90,129,38,11,7,9.0
87,181,230,201,62,74,3,4.0
90,122,74,100,38,24,11,12.0
91,201,224,190,62,68,11,12.0
93,130,100,131,44,17,5,12.0
94,85,154,248,47,29,13,16.0
95,80,153,252,46,31,8,12.0
95,82,163,250,48,33,9,12.0
95,96,104,233,39,5,7,9.0
97,82,127,260,41,22,6,12.0
97,162,154,173,51,26,14,16.0
98,76,49,33,29,33,3,4.0
99,104,107,202,40,4,8,9.0
99,118,99,120,43,9,10,12.0
101,91,170,248,51,32,6,8.0
102,66,21,33,24,66,2,3.0
102,212,206,177,62,56,10,12.0
103,80,163,257,48,34,10,16.0
104,105,108,225,42,2,14,16.0
104,200,203,182,60,49,3,4.0
105,74,137,270,41,30,15,16.0
105,101,100,12,40,2,11,12.0
106,105,93,55,39,7,11,12.0
107,103,100,26,41,3,11,12.0
107,130,207,226,62,51,7,9.0
108,81,90,340,37,14,8,9.0
108,182,183,181,57,34,9,12.0
109,96,125,267,43,13,8,12.0
109,133,70,83,40,31,15,16.0
109,146,89,99,46,24,2,3.0
109,201,213,187,63,55,2,3.0
110,86,127,275,42,19,3,4.0
111,85,178,257,52,38,3,4.0
112,118,126,214,47,6,2,4.0
112,191,182,173,59,38,3,4.0
113,79,160,265,47,34,12,16.0
113,86,173,259,51,35,22,25.0
113,101,75,41,37,20,11,12.0
114,86,88,356,39,14,2,3.0
115,165,184,197,59,33,12,16.0
115,224,191,162,66,64,3,4.0
117,99,93,15,41,11,8,9.0
117,120,119,160,46,1,11,12.0
118,113,95,47,42,11,13,16.0
119,121,124,216,48,2,11,12.0
119,148,81,86,45,29,5,6.0
119,150,110,107,51,16,11,12.0
119,223,205,170,67,62,3,4.0
121,134,89,77,44,20,11,12.0
122,123,114,67,46,4,5,12.0
123,78,100,331,39,22,10,11.0
123,88,90,357,41,17,2,3.0
123,136,121,112,50,6,9,16.0
124,84,90,351,41,19,9,12.0
124,172,117,112,57,25,7,9.0
125,80,99,335,40,22,6,9.0
125,95,99,352,43,14,3,4.0
125,131,139,214,52,6,2,3.0
125,133,143,213,53,7,6,7.0
126,124,118,45,48,3,15,16.0
127,159,156,174,56,14,13,16.0
127,168,184,197,61,29,11,12.0
128,92,153,275,48,25,7,9.0
128,105,91,23,43,17,10,12.0
128,205,213,186,67,50,3,4.0
129,135,186,234,62,29,9,12.0
130,98,104,349,45,14,3,4.0
130,104,188,259,57,39,10,12.0
130,190,78,92,53,46,11,12.0
131,109,103,13,46,12,3,4.0
131,124,203,245,64,43,14,16.0
131,222,206,169,69,58,2,3.0
132,150,87,77,46,27,9,12.0
132,152,83,77,46,29,2,3.0
133,106,91,21,44,19,7,12.0
133,109,103,12,46,13,3,4.0
133,192,77,91,53,48,8,9.0
134,112,169,263,55,25,13,16.0
134,142,152,213,56,8,3,4.0
134,209,215,184,68,50,11,12.0
135,100,78,23,42,27,3,4.0
135,101,90,15,44,20,8,9.0
136,87,102,342,44,22,10,12.0
136,101,79,23,42,27,3,4.0
136,118,172,260,57,25,11,12.0
137,216,168,144,69,50,3,4.0
138,78,0,34,27,100,12,13.0
138,94,74,19,42,30,24,25.0
138,124,94,41,45,19,15,16.0
139,92,117,328,45,20,8,9.0
139,97,105,349,46,18,6,9.0
140,132,85,51,44,24,8,9.0
140,154,79,71,46,32,2,3.0
141,90,84,6,44,25,2,3.0
141,106,178,269,56,32,14,16.0
141,115,100,22,47,17,3,4.0
141,215,237,194,74,73,11,12.0
142,117,128,334,51,10,7,8.0
143,110,100,14,48,18,3,4.0
143,122,79,40,44,29,9,12.0
143,216,173,145,70,48,3,4.0
144,107,122,336,49,15,11,12.0
146,78,43,20,37,54,4,6.0
147,79,44,20,37,54,6,8.0
148,102,85,16,46,27,6,16.0
148,105,81,21,45,29,11,12.0
149,117,101,20,49,19,3,4.0
150,82,46,21,38,53,2,3.0
150,92,81,10,45,30,3,4.0
150,93,101,352,48,23,1,3.0
150,93,103,349,48,23,1,3.0
150,102,41,34,37,57,3,4.0
150,142,120,44,53,13,3,4.0
150,146,207,244,69,39,9,10.0
151,151,155,240,60,2,11,12.0
152,98,83,13,46,29,3,4.0
152,213,160,128,72,42,3,4.0
153,118,78,32,45,32,12,16.0
