R,G,B,H,L,S,Count
39,84,150,216,37,59,4.0
52,94,158,216,41,50,4.0
95,105,6,66,22,89,1.0
108,117,6,65,24,90,1.0
113,83,46,33,31,42,1.0
115,91,61,33,35,31,1.0
116,94,67,33,36,27,1.0
118,81,0,41,23,100,1.0
131,92,0,42,26,100,1.0
140,56,8,22,29,89,1.0
145,152,27,63,35,70,1.0
151,62,16,20,33,81,1.0
157,110,3,42,31,96,1.0
164,67,26,18,37,73,1.0
170,124,12,43,36,87,1.0
171,177,31,62,41,70,1.0
176,177,30,60,41,71,1.0
183,136,22,42,40,79,1.0
190,82,33,19,44,70,1.0
196,146,26,42,44,77,1.0
197,149,25,43,44,77,1.0
204,89,36,19,47,70,1.0
207,205,32,59,47,73,1.0
210,127,20,34,45,83,3.0
214,163,27,44,47,78,1.0
229,224,23,59,49,82,1.0
232,163,200,328,77,60,1.0
234,175,207,327,80,58,1.0
235,164,200,330,78,64,1.0
235,176,208,327,81,60,1.0
237,189,215,328,84,57,1.0
237,217,227,330,89,36,1.0
238,177,208,330,81,64,1.0
238,190,216,328,84,59,1.0
239,217,228,330,89,41,1.0
241,204,225,326,87,57,1.0
241,205,225,327,87,56,1.0
241,217,227,335,90,46,1.0
242,190,215,331,85,67,1.0
242,206,226,327,88,58,1.0
244,220,230,335,91,52,1.0
244,221,231,334,91,51,2.0
245,192,22,46,52,92,1.0
245,197,17,47,51,92,1.0
245,217,233,326,91,58,2.0
246,218,234,326,91,61,1.0
247,109,44,19,57,93,1.0
247,218,233,329,91,64,1.0
249,237,14,57,52,95,1.0
250,118,50,20,59,95,1.0
250,128,62,21,61,95,1.0
251,136,72,21,63,96,1.0
251,147,190,335,78,93,4.0
251,156,98,23,68,95,1.0
252,146,189,336,78,95,4.0
254,214,7,50,51,99,1.0
254,239,4,56,51,99,1.0
255,194,147,26,79,100,1.0
255,202,162,26,82,100,1.0
255,214,37,49,57,100,1.0
255,221,63,49,62,100,1.0
255,228,25,53,55,100,1.0
255,231,63,52,62,100,1.0
255,232,211,29,91,100,1.0
255,235,65,54,63,100,1.0
255,241,65,56,63,100,1.0
255,247,27,58,55,100,1.0
